rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id1,1,17.36666667,0.059266667,0.040366667,0.099633333,357.2167,321.8233,21,2.1833,35.3933,81.4366373,-0.590871986,-11.04108176
id2,1,17.8,0.055133333,0.0587,0.113833333,485.3533,449.3367,23.3333,2.7167,36.0167,-9.246702018,-109.3874535,-218.8621706
id3,1,17.1,0.0415,0.0596,0.1011,140.81,111.3167,8.6667,0.8167,29.4933,-119.0016567,37.62886856,-0.297353268
id4,1,15.96666667,0.040366667,0.0421,0.082466667,283.86,254.8867,15.3333,1.4933,28.9733,-6.816772199,-107.5214242,-218.2587866
id5,1,15.2,0.0603,0.037566667,0.097866667,205.96,180.7933,15.6667,1.15,25.1667,-9.218280576,-108.9132943,-217.7196346
id6,1,10.8,0.04485,0.0292,0.07405,81.535,67.995,8,0.36,13.5500,-7.655380892,-108.58107,-219.6117136
id7,1,13.66666667,0.050233333,0.0487,0.098933333,81.18,61.9667,6,0.4233,19.2067,-8.050098216,-108.4169036,-219.3779707
id8,1,14.7,0.0289,0.03915,0.06805,110.84,87.565,8.5,0.49,23.2750,-7.540029569,-108.1617363,-219.1981653
id9,1,15.43333333,0.066666667,0.057033333,0.1237,272.8233,243.5167,14.6667,1.5033,29.3033,-8.927393692,-108.7856638,-218.4180279
id10,1,15.73333333,0.049366667,0.0517,0.101066667,,,,,,117.6686074,26.63520411,14.92685228
id11,1,13.46666667,0.040066667,0.031033333,0.0711,102.5333,75.57,5.3333,0.59,26.9633,69.90676268,-9.375035802,-28.73998418
id12,1,16.53333333,0.0533,0.0439,0.0972,195.85,167.83,11.3333,1.1833,28.0200,-92.72551946,4.154440912,2.560185874
id13,1,16.76666667,0.0436,0.052466667,0.096066667,226.9867,192.3333,12.6667,1.29,34.6500,-2.846195441,-115.3883811,-4.269405365
id14,1,11.93333333,0.031566667,0.033,0.064566667,130.35,101.1667,7.3333,0.74,29.1800,-146.6796149,67.47296853,3.658408631
id15,1,19,0.079166667,0.0715,0.150666667,388.0133,349.4,18,2.3033,38.6133,-126.3340659,45.48656913,-1.579051394
id16,1,14.5,0.0515,0.0488,0.1003,162.265,135.135,8,0.87,27.1300,-129.8411428,46.98903544,1.62960824
